35958	15
87998	12
89773	RPF
93459	RPF
98059	12
100071	RPF
101448	RPF
102779	12
103070	14
103147	12
103487	11
103592	13
103730	13
104020	10
104384	RPF
104429	12
107193	16
107758	10
107927	18
109061	11
110116	12
110150	10
110160	10
110235	8
110555	13
111590	11
112133	11
112187	15
112610	17
112665	14
112668	15
112714	12
112733	13
112841	12
112876	13
112901	13
112957	11
112959	14
112974	16
112981	15
112994	10
113144	17
113170	15
113207	15
113245	15
113278	13
113372	17
113384	16
113402	13
113403	14
113475	16
113480	14
113482	12
113526	11
113532	17
113534	11
113585	13
113586	13
113613	13
113626	13
113655	16
113664	13
113682	14
113713	19
113717	11
113736	15
113763	15
113765	12
113780	14
113786	13
113889	15
113893	16
113920	13
113962	14
113968	14
114129	12
114137	17
114192	12
114196	13
114220	14
114246	13
114256	13
114273	13
114321	13
114429	11
114478	17
114514	14
114547	11
114588	13
114614	12
114622	16
114624	17
114640	10
114646	13
114990	18
115178	12
115243	12
115304	18
115621	RPF
115637	8
115646	RPF
115665	RNMP
115674	RPF
115684	RPF
115696	RNMTP
115697	11
115785	13
